Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Margareta,Karlsson,Björkgatan 75,Norrköping,10603,Sverige,SE,19481126-5857,+46,+46 (0)610 634 21,1948-11-26,True
Alfred,Johansson,Skoltorget 312,Örnsköldsvik,32490,Sverige,SE,19930926-6340,+46,+46 (0)251 146 23,1993-09-26,True
Ingvar,Bengtsson,Parkstigen 23,Halmstad,45620,Sverige,SE,19750416-4097,+46,092-498 75 34,1975-04-16,True
Bengt,Höglund,Aspvägen 070,Stockholm,74075,Sverige,SE,19620921-2029,+46,08-057 280 24,1962-09-21,True
Erik,Johansson,Grantorget 459,Sandviken,88625,Sverige,SE,19430423-4958,+46,08-148 047 59,1943-04-23,True
Anna,Nilsson,Gengränd 17,Trelleborg,32001,Sverige,SE,19880203-4149,+46,+46 (0)329 080 91,1988-02-03,True
Birgitta,Pettersson,Industritorget 20,Landskrona,57454,Sverige,SE,19920810-8974,+46,08-153 382 12,1992-08-10,True
Roger,Nordström,Kyrkstigen 507,Malmö,25275,Sverige,SE,19820712-6269,+46,0737-25 97 17,1982-07-12,True
Brad,Sanders,Amber Walk 326,Tiffanyborough,68696,Danmark,DK,19411009-2973,+45,001-936-491-6486x4092,1941-10-09,True
Kathryn,Clark,Manuel Plaza 6149,Port Hannahtown,69447,Danmark,DK,19811011-8634,+45,996.201.8607x24813,1981-10-11,True
Trine,Olsen,Eidestranda 295,Gunnarsjøen,6716,Norge,NO,19791117-3296,+47,434 78 993,1979-11-17,True
Anna,Svensson,Trädgårdsvägen 60,Trelleborg,17272,Sverige,SE,19760723-2197,+46,08-261 569 84,1976-07-23,True
Kristina,Jonsson,Järnvägsvägen 785,Göteborg,19588,Sverige,SE,19840131-4376,+46,+46 (0)850 050 09,1984-01-31,True
Pia,Karlsson,Skolvägen 47,Trelleborg,70992,Sverige,SE,19640913-1657,+46,+46 (0)37 25 99 57,1964-09-13,True
Åsa,Forsberg,Industrigatan 60,Malmö,79625,Sverige,SE,19901129-2868,+46,+46 (0)8 559 266 37,1990-11-29,True
Sven,Jonsson,Järnvägsvägen 5,Skövde,59576,Sverige,SE,19950820-7394,+46,08-26 63 93,1995-08-20,True
Jan,Olsson,Skolgatan 840,Uddevalla,90492,Sverige,SE,19650611-8955,+46,087-22 21 17,1965-06-11,True
Birgitta,Nyström,Aspgatan 800,Kalmar,84590,Sverige,SE,19740823-2251,+46,068-155 79 13,1974-08-23,True
Thor,Pedersen,Jørgensenengen 88,Saraø,5921,Finland,NO,19451129-5134,+47,72688446,1945-11-29,True
Chad,Nelson,Denise Plains 92841,Simpsonberg,24082,Danmark,DK,19700428-6638,+45,337.311.8738,1970-04-28,True
Samantha,Padilla,Diamond Brook 10022,East Mariah,62633,Danmark,DK,19500106-2776,+45,(435)365-6052x33399,1950-01-06,True
Mari,Madsen,Brekkebråten 3,Lunde,2052,Norge,NO,19941022-5516,+47,41982097,1994-10-22,True
Nils,Gustafsson,Kyrkvägen 7,Trollhättan,20953,Sverige,SE,19861127-7900,+46,08-82 73 65,1986-11-27,True
Karin,Persson,Furugatan 718,Skövde,35734,Sverige,SE,19500707-8371,+46,08-380 475 79,1950-07-07,True
Emilie,Antonsen,Amundsenskogen 4B,Edvardsen,4311,Norge,NO,19860210-4663,+47,474 99 334,1986-02-10,True
Stephen,Miller,Atkins Streets 96152,Johnmouth,05893,Danmark,DK,19510712-9268,+45,(844)919-1925x7927,1951-07-12,True
Roland,Wahlström,Kyrkovägen 603,Eskilstuna,99752,Sverige,SE,19950329-6775,+46,08-70 09 46,1995-03-29,True
Johan,Svensson,Parkgatan 107,Trelleborg,28767,Sverige,SE,19740318-5633,+46,0223-60 68 41,1974-03-18,True
Nora,Ahmed,Aasspranget 3,Strøm,9814,Norge,NO,19951030-2651,+47,49894093,1995-10-30,True
Magnus,Forsberg,Fabrikstorget 95,Karlstad,53884,Sverige,SE,19581111-5462,+46,0866-95 09 88,1958-11-11,True
Maria,Nilsson,Stationsgatan 83,Luleå,36092,Sverige,SE,19490528-5125,+46,+46 (0)891 196 27,1949-05-28,True
Alexander,Andersson,Parktorget 06,Örnsköldsvik,32415,Sverige,SE,19741101-5295,+46,08-225 205 25,1974-11-01,True
Reginald,Carrillo,Austin Drive 165,Lake Kristinaland,89758,Danmark,DK,19631028-8945,+45,2792923941,1963-10-28,True
Ashley,Henderson,Collins Lights 0245,Erinburgh,18594,Danmark,DK,19670817-4564,+45,831-794-9798x03851,1967-08-17,True
Erika,Larsson,Storstigen 85,Uppsala,75355,Sverige,SE,19970102-1114,+46,+46 (0)34 59 48 98,1997-01-02,True
Johan,Fredriksson,Stationsgatan 42,Uddevalla,44267,Sverige,SE,19410305-5065,+46,0195-71 50 53,1941-03-05,True
Gunn,Thomassen,Eliassenmoen 5,Idahamn,2401,Norge,NO,19680820-1840,+47,991 96 496,1968-08-20,True
Christina,Ottosson,Kyrktorget 27,Trollhättan,75133,Sverige,SE,19610215-3283,+46,+46 (0)051 141 18,1961-02-15,True
Maria,Hansson,Kyrkovägen 426,Norrköping,25827,Sverige,SE,19820123-0066,+46,098-182 24 26,1982-01-23,True
Elisabet,Malm,Skogsgränd 5,Uppsala,64375,Sverige,SE,19751225-9923,+46,+46 (0)705 006 60,1975-12-25,True
Samuli,Pöllänen,Puusepänpolku 180,Imatra,44492,Finland,FI,19750805-167T,+358,021 639 0519,1975-08-05,True
Adrian,Lund,Nilsenhagen 42,Andershamn,8178,Norge,NO,19491206-8559,+47,35141976,1949-12-06,True
Christer,Holm,Aspgränd 8,Växjö,74377,Sverige,SE,19530103-8065,+46,+46 (0)401 682 79,1953-01-03,True
Thor,Dahl,Henriksenhavna 77,Andersnes,4830,Norge,NO,19450512-5570,+47,968 41 830,1945-05-12,True
Siv,Persson,Gengatan 686,Varberg,83074,Sverige,SE,19790115-9712,+46,08-518 36 87,1979-01-15,True
Bertil,Nilsson,Strandgatan 0,Sundsvall,22353,Sverige,SE,19490328-9847,+46,001-07 41 27,1949-03-28,True
Christopher,Peterson,Hernandez Shores 4168,Lake Morgan,43597,Danmark,DK,19931224-2639,+45,838-825-7437,1993-12-24,True
Gunnar,Nordström,Kvarngränd 362,Nyköping,11867,Sverige,SE,19720524-9316,+46,0388-48 66 13,1972-05-24,True
Tommy,Larsson,Trädgårdsgränd 9,Umeå,45907,Sverige,SE,19700619-9146,+46,079-96 08 14,1970-06-19,True
Tomas,Wahlström,Kvarnstigen 572,Mölndal,45903,Sverige,SE,19570527-7111,+46,08-262 05 92,1957-05-27,True
Viktor,Johansson,Industristigen 47,Landskrona,70365,Sverige,SE,19730527-1419,+46,020-281 52 49,1973-05-27,False
Christian,Ali,Fredriksenbråten 50,Camillafjell,4284,Norge,NO,19860915-8380,+47,77 16 38 48,1986-09-15,True
Vilde,Solheim,Solheimløkka 4D,Aune,3115,Norge,NO,19510713-2924,+45,97433568,1951-07-13,True
Inger,Ellingsen,Bergegjerdet 1,Rolfsund,6391,Norge,NO,19701207-2987,+47,49514136,1970-12-07,True
Lars,Magnusson,Villagatan 7,Norrköping,62575,Sverige,SE,19870403-3852,+46,068-43 52 14,1987-04-03,True
Ragnhild,Hansen,Eidejordet 59,Lenesand,8988,Norge,NO,20001227-0736,+47,86 32 05 26,2000-12-27,True
Ulrika,Karlsson,Björkstigen 2,Helsingborg,50461,Sverige,SE,19620621-7002,+46,+46 (0)8 643 086 17,1962-06-21,True
Sofia,Johansson,Parkvägen 33,Jönköping,38329,Sverige,SE,19760413-6296,+46,0012-00 91 17,1976-04-13,True
Eva,Persson,Skolgatan 6,Malmö,76103,Sverige,SE,19901216-7186,+46,0836-25 30 47,1990-12-16,True
Elin,Johannessen,Ruudkollen 9,Tomås,4167,Norge,NO,19491127-1408,+47,91709602,1949-11-27,True
Kara,Shepherd,Freeman Gateway 28517,Kleinburgh,34970,Danmark,DK,19530401-8160,+45,001-515-630-3843x03342,1953-04-01,True
Karl,Eriksson,Järnvägsstigen 3,Trollhättan,53465,Sverige,SE,19450704-3511,+46,+46 (0)8 007 589 05,1945-07-04,True
Per,Olofsson,Genvägen 5,Ängelholm,47461,Sverige,SE,19491207-8757,+46,08-38 42 94,1949-12-07,True
Emilia,Nordin,Villagränd 2,Nyköping,64849,Sverige,SE,19541114-6812,+46,08-529 664 38,1954-11-14,True
Arild,Lie,Hauglandskrenten 26,Gerdby,4761,Norge,NO,19891122-0193,+47,27 12 72 91,1989-11-22,True
Inga,Jonasson,Trädgårdsgatan 48,Skellefteå,83474,Sverige,SE,19400613-0285,+46,08-49 20 64,1940-06-13,True
Anna,Moen,Andersenalléen 47,Jorunnsjøen,1959,Norge,NO,19910613-5299,+47,48456037,1991-06-13,False
Jacob,Yang,Whitaker Plains 23411,Williamsmouth,59710,Danmark,DK,19591123-7020,+45,430-960-1246,1959-11-23,True
Jason,Stark,Smith Crossing 551,Harrisland,87245,Danmark,DK,19690706-8938,+45,385-299-7924x8902,1969-07-06,True
Judith,Willis,Hart Forks 8445,New Jacqueline,46078,Danmark,DK,19940103-3498,+46,(843)772-2837x098,1994-01-03,True
Hans,Andersson,Aspvägen 50,Uddevalla,21753,Sverige,SE,19910210-4275,46,08-97 90 65,1991-02-10,True
Lillemor,Johansson,Trädgårdsgränd 99,Borlänge,82515,Sverige,SE,20000304-0210,+46,08-848 85 29,2000-03-04,True
Thor,Karlsen,Arnesensvingen 338,Bakken,3849,Norge,NO,19761012-4655,+47,40861527,1976-10-12,True
Matthew,Hall,Grant Springs 078,Kyletown,87062,Danmark,DK,19670302-6101,+45,+1-948-909-0710,1967-03-02,True
Annika,Haglund,Industrigatan 213,Lidingö,47929,Sverige,SE,19901230-1385,+46,08-060 073 56,1990-12-30,True
Gustav,Svensson,Parkstigen 013,Umeå,80820,Sverige,SE,19491128-7990,+46,08-163 311 79,1949-11-28,True
Torill,Johnsen,Lundhagen 7,Svendsen,3095,Norge,NO,19690608-5900,47,24 34 31 44,1969-06-08,True
Monica,Carlsson,Bäckgatan 811,Eskilstuna,69318,Sverige,SE,19420128-4729,+46,0071-681 57,1942-01-28,True
Karin,Lundqvist,Bäckgatan 9,Halmstad,37088,Sverige,SE,19670429-4403,+46,041-21 60 24,1967-04-29,True
Linn,Johnsen,Karlsenvollen 929,Jakobsen,0121,Norge,NO,19880129-4856,+47,98770796,1988-01-29,True
Angela,Hart,Sheena Wall 766,North Michaelview,92761,Danmark,DK,19590909-0977,+45,275-898-0023x69196,1959-09-09,True
Bengt,Larsson,Åkergatan 60,Luleå,86177,Sverige,SE,19540627-4595,+46,08-927 587 47,1954-06-27,True
Linnea,Jansson,Storgränd 7,Karlstad,74005,Sverige,SE,19981001-8433,+46,075-825 76 51,1998-10-01,True
Marita,Nilsson,Kyrkgränd 0,Örnsköldsvik,12470,Sverige,SE,19990703-1750,+46,08-901 431 89,1999-07-03,True
Christoffer,Svensson,Backvägen 28,Malmö,20317,Sverige,SE,19970303-4453,+46,+46 (0)65 08 39 51,1997-03-03,True
Vidar,Lie,Jacobsensvingen 79,Terjefjord,3320,Norge,NO,19650201-8533,+47,444 02 102,1965-02-01,True
Nicole,Thomas,Jackson Forges 14488,Davisland,10961,Danmark,DK,19550924-7651,+45,(715)584-4037x07240,1955-09-24,True
Elisabet,Jakobsson,Ringvägen 0,Halmstad,69529,Sverige,SE,19921113-8619,+46,+46 (0)10 60 26 84,1992-11-13,True
Eero,Kuronen,Lepolanbulevardi 672,Kivijärvi,26788,Finland,FI,19980403-8271,+358,0072669055,1998-04-03,True
Wenche,Strøm,Antonsenroa 469,Sandervær,0285,Norge,NO,19820514-5307,+47,99520147,1982-05-14,True
Maria,Jansson,Kvarnstigen 72,Sundsvall,86456,Sverige,SE,19450120-3277,+46,0109-925 06,1945-01-20,True
Carolina,Engström,Strandvägen 22,Falun,63688,Sverige,SE,19540904-9396,+46,+46 (0)409 591 57,1954-09-04,True
Jan,Ahmed,Kristensentoppen 6,Emilvær,5310,Norge,NO,19971103-8300,+47,+4723004110,1997-11-03,True
Nicholas,Robinson,Camacho Burgs 83061,Denisestad,80567,Danmark,DK,19660501-5018,+45,+1-503-485-3537,1966-05-01,True
Nicole,Arnold,Padilla Turnpike 31589,Lake Laurachester,06657,Danmark,DK,19580126-7415,+45,(453)691-8860,1958-01-26,True
Elisabeth,Gunnarsson,Villavägen 18,Södertälje,98178,Sverige,SE,19630311-3469,+46,+46 (0)925 732 83,1963-03-11,True
Camilla,Mathisen,Lielia 02C,Annahamn,4922,Norge,NO,19941126-3334,+47,+47 20 99 15 73,1994-11-26,True
Einar,Hansen,Thorsenspranget 43,Mathiasås,7471,Norge,NO,19611207-8737,+47,+4743506435,1961-12-07,True
Maria,Karlsson,Björkvägen 81,Trollhättan,87604,Sverige,SE,19741014-6347,+46,0363-36 00 13,1974-10-14,True
Sigvard,Larsson,Villavägen 741,Örnsköldsvik,36891,Sverige,SE,19440917-5697,+46,0339-177 23,1944-09-17,True
Kenneth,Padilla,Garza Manor 40801,North Sandra,73571,Danmark,DK,19780608-0997,+45,926.404.7758,1978-06-08,True
Ulrika,Bergström,Genvägen 7,Ängelholm,55080,Sverige,SE,19930522-8248,+46,+46 (0)8 695 762 27,1993-05-22,True
Anna,Jonsson,Skolstigen 5,Trollhättan,14668,Sverige,SE,19810228-6231,+46,+46 (0)8 511 428 89,1981-02-28,True
Pia,Axelsson,Idrottsstigen 1,Landskrona,17356,Sverige,SE,19910203-8643,+46,+46 (0)972 608 42,1991-02-03,True
Ismo,Juvonen,Yhteiskoulunpolku 3,Aura,03817,Finland,FI,19631122-833K,+358,+358 79 7701034,1963-11-22,True
Johannes,Lundström,Aspvägen 3,Motala,40924,Sverige,SE,19660409-6134,+46,0059-009 53,1966-04-09,True
Christian,Wikström,Backgränd 71,Piteå,19770,Sverige,SE,19880902-4109,+46,010-28 69 84,1988-09-02,True
Carolina,Johansson,Trädgårdsgatan 618,Lidingö,42802,Sverige,SE,19550928-5467,+46,0145-08 28 53,1955-09-28,True
Timothy,Martinez,Johnson Greens 68055,New Erinmouth,50179,Danmark,DK,20000104-2642,+45,418.408.9055x46863,2000-01-04,True
Mallory,Smith,Dennis Expressway 51114,Tammyberg,45834,Danmark,DK,20000517-5384,+45,+1-272-902-1161x34401,2000-05-17,True
Erik,Ek,Kvarnstigen 76,Nyköping,84793,Sverige,SE,19811010-3498,+46,0663-45 58 56,1981-10-10,True
Teresa,Perry,Santiago Rapids 054,Richside,19668,Danmark,DK,19720903-4414,+45,3063448857,1972-09-03,True
Valdemar,Holm,Åkergatan 04,Falun,73918,Sverige,SE,19410305-6738,+46,0146-87 68 04,1941-03-05,True
Tom,Christensen,Halvorsenmoen 1,Myhre,4607,Norge,NO,19891007-3876,+47,92568596,1989-10-07,True
Antti,Haapala,Urkurintie 01,Laitila,19046,Finland,FI,19651128-470H,+358,+358 559479318,1965-11-28,True
Thomas,Mason,Lee Stravenue 74109,East Benjaminstad,01802,Danmark,DK,19820824-5962,+45,(977)607-9421x271,1982-08-24,True
Anne-Marie,Möller,Industrigatan 37,Malmö,79118,Sverige,SE,19980620-8637,+46,08-151 549 67,1998-06-20,True
Bjørn,Christensen,Moemyra 94,Tonjefjell,9211,Norge,NO,19810526-6569,+47,39 85 39 36,1981-05-26,True
Siv,Gundersen,Hanssenvika 78,Ødegård,6128,Norge,NO,19880907-3999,+47,81 55 78 00,1988-09-07,True
Phillip,Wheeler,Thomas Pike 373,Lindabury,45969,Danmark,DK,19611116-1113,+45,745.490.8594x717,1961-11-16,True
Petteri,Gustafsson,Gyldéninkuja 085,Isokyrö,30077,Finland,FI,19690918-766N,+358,0675560566,1969-09-18,True
Michael,Pittman,Montgomery Cape 90535,Lake Robert,34012,Danmark,DK,19980707-4676,+45,558-717-0368,1998-07-07,True
Olof,Nilsson,Bäckvägen 872,Malmö,99525,Sverige,SE,19820728-3835,+46,+46 (0)05 00 39 62,1982-07-28,True
Jens,Mathisen,Aashavna 4A,Fredriksen,9544,Norge,NO,19921215-6383,+47,98 47 09 64,1992-12-15,True
Anders,Eriksson,Parktorget 96,Karlskoga,17667,Sverige,SE,19560106-2565,+46,0403-268 73,1956-01-06,True
Jens,Eliassen,Rasmussenbakken 1,Kåreeid,1321,Norge,NO,19730804-8683,+47,39 36 82 61,1973-08-04,True
Ingvar,Larsson,Parkgatan 934,Uppsala,89476,Sverige,SE,19810408-3199,+46,001-145 32 47,1981-04-08,True
Solveig,Knudsen,Solheimvika 50,Johannessen,4151,Norge,NO,19940727-0394,+47,41768952,1994-07-27,True
Joseph,Burns,Davis Forges 943,Hooverside,36760,Danmark,DK,19660617-6628,+45,6045657545,1966-06-17,True
Shannon,White,Robert Divide 1542,East Morganhaven,48937,Danmark,DK,19581221-9122,+45,+1-219-768-1602x3738,1958-12-21,True
Maria,Williams,Eric Square 9158,Robertsside,18482,Danmark,DK,19500720-5350,+45,401-435-3511x2688,1950-07-20,True
Kalevi,Mäkelä,Eljaksenpolku 3,Vöyri,93895,Finland,FI,19920927-435W,+358,095 538 7534,1992-09-27,True
Jon,Hansen,Andresenmyra 10,Lie,8593,Norge,NO,19630913-9742,+47,441 55 163,1963-09-13,True
Knut,Eliassen,Rønningplassen 1,Lindabø,8436,Norge,NO,19820619-6935,+47,935 87 680,1982-06-19,True
Anthony,Johnson,Troy Mountains 6656,North Jeffreyborough,66401,Danmark,DK,19561115-4469,+45,800.821.1986x358,1956-11-15,True
Susan,Morgan,Sheila Ford 46934,South Robertofurt,87019,Danmark,DK,19631112-8645,+45,528-595-5051x32017,1963-11-12,True
Lene,Simonsen,Brekkeeggen 2,Kjetilfoss,2531,Norge,NO,19901112-7662,+47,+4708922503,1990-11-12,True
Sigrid,Svendsen,Bakkenmyra 8,Kristensen,7923,Norge,NO,19700210-2886,+47,949 30 688,1970-02-10,True
Thor,Berg,Aunemarka 76B,Thomasvik,3699,Norge,NO,19400115-3711,+47,84531091,1940-01-15,True
Michelle,Price,Scott Parkway 085,Collierland,95585,Danmark,DK,19990830-1557,+45,726-266-7196,1999-08-30,True
Lee,Anderson,Sarah Key 8979,North Michael,37083,Danmark,DK,19680422-2080,+45,(679)308-3944,1968-04-22,True
Mona,Larsson,Backvägen 1,Nyköping,30115,Sverige,SE,19730716-9671,+46,+46 (0)674 773 49,1973-07-16,True
Maria,Månsson,Storgatan 109,Luleå,40325,Sverige,SE,19510822-4582,+46,+46 (0)399 122 63,1951-08-22,True
Åse,Holm,Evensengata 7A,Lunde,5513,Norge,NO,19910128-7313,+358,88 56 25 45,1991-01-28,True
Maj,Gunnarsson,Ektorget 58,Falun,39911,Sverige,SE,19790413-3385,+46,+46 (0)8 116 241 22,1979-04-13,True
Grethe,Eide,Lielyngen 49,Malinstrand,0426,Norge,NO,19920825-4136,+47,29457388,1992-08-25,True
Anthony,Jenkins,Warren Motorway 34958,New Dale,26748,Danmark,DK,19860820-0347,+45,251.463.3382,1986-08-20,True
Rune,Ali,Rønningvika 5B,Paulsen,7376,Norge,NO,19550221-3971,+47,972 42 280,1955-02-21,True
Riitta,Ojanen,Jänkäpolku 9,Sastamala,57788,Finland,FI,19730111-080J,+358,+358 75 5061088,1973-01-11,True
Anders,Bergström,Kvarngatan 6,Linköping,84520,Sverige,SE,19500110-1669,+46,+46 (0)34 61 68 16,1950-01-10,True
Alf,Hauge,Ødegårdrøa 85,Myklebust,9904,Norge,NO,19991231-5031,+47,+4744935523,1999-12-31,True
Hanne,Aas,Christensengata 24,Thomassen,4437,Norge,NO,19630201-1077,+47,952 78 962,1963-02-01,True
Petter,Andersen,Lundemarka 50,Rasmussen,0338,Norge,NO,19411108-8579,+47,985 36 424,1941-11-08,True
Ragnhild,Mikkelsen,Ahmedmyra 8,Berg,2971,Norge,NO,19760131-2786,+47,48307285,1976-01-31,True
Charles,Mack,Lin Oval 0489,East Hectorhaven,52482,Danmark,DK,19700318-8305,+45,001-437-292-8973x8957,1970-03-18,True
Marika,Tuominen,Ida Ekmanin tie 8,Kuhmo,23119,Finland,FI,19760528-099V,+358,+358 188208930,1976-05-28,True
Bobby,Johnson,Melissa Circle 592,New Austinmouth,34129,Danmark,DK,19670707-7874,+45,454-993-6706x6870,1967-07-07,True
Maren,Hanssen,Thorsenstranda 6,Rasmussen,5859,Norge,NO,19810607-5732,+47,97330947,1981-06-07,True
Bradley,Butler,Howell Loop 8681,East Richard,72224,Danmark,DK,19900728-7610,+45,+1-641-966-2929x559,1990-07-28,True
Göte,Nilsson,Fabriksstigen 37,Södertälje,69599,Sverige,SE,19760425-6812,+46,08-376 12 06,1976-04-25,True
Irene,Strand,Jakobsenstranda 91,Helland,1841,Norge,NO,19491228-7069,+47,83 74 79 11,1949-12-28,True
Margareta,Bergström,Järnvägsgatan 565,Karlstad,87213,Sverige,SE,19840214-9574,+46,+46 (0)8 755 612 25,1984-02-14,True
Gunvor,Nilsson,Ekvägen 50,Linköping,29503,Sverige,SE,19470816-8795,+46,08-639 618 36,1947-08-16,True
Lindsay,Mack,Juan Corner 099,Antoniofort,55011,Danmark,DK,19900819-3498,+45,705-917-3840x863,1990-08-19,True
Jackie,Bartlett,Janice Mission 830,Palmerfurt,74476,Danmark,DK,19660116-8224,+45,001-339-373-6068x5458,1966-01-16,True
Peter,Jansson,Kvarnvägen 5,Jönköping,52662,Sverige,SE,19660619-7688,+46,052-587 73 03,1966-06-19,True
Sven,Söderberg,Nystigen 63,Uddevalla,85047,Sverige,SE,19550804-6208,+46,048-892 33 84,1955-08-04,True
Åke,Roos,Backvägen 51,Luleå,93223,Sverige,SE,19561005-3502,+46,075-294 91 19,1956-10-05,True
Maria,Sjöberg,Bäcktorget 1,Skellefteå,70565,Sverige,SE,19860320-4795,+46,+46 (0)8 333 808 50,1986-03-20,True
Maria,Nilsson,Skogsvägen 0,Örebro,72078,Sverige,SE,19840828-6400,+46,08-724 142 51,1984-08-28,True
Donna,Mitchell,Greer Prairie 73702,New Andrew,35994,Danmark,DK,19930906-7934,+45,001-367-845-4405x90735,1993-09-06,True
Kevin,Park,Patricia Road 0217,Mahoneyberg,89002,Danmark,DK,19690312-4467,+45,684-267-2924,1969-03-12,True
Jenna,Liukkonen,Jälsipolku 163,Ulvila,64045,Finland,FI,19870906-019F,+358,004 294 2900,1987-09-06,True
Lene,Mathisen,Jenssenskogen 3,Unnivær,5015,Norge,NO,19990501-1092,+47,19469376,1999-05-01,True
Mary,Glenn,Dixon Rapid 90715,New Suzanneborough,05908,Danmark,DK,19670824-6503,+45,231.955.7147x1874,1967-08-24,True
Maria,Larsson,Industristigen 352,Eskilstuna,49934,Sverige,SE,19640626-1891,+46,08-636 113 89,1964-06-26,True
Christer,Nilsson,Järnvägstorget 9,Lidköping,19115,Sverige,SE,19630405-1815,+46,089-913 58 83,1963-04-05,True
Olof,Johansson,Skolvägen 46,Halmstad,53117,Sverige,SE,19781111-5989,+46,+46 (0)8 730 278 99,1978-11-11,True
Tore,Gunnarsson,Skoltorget 640,Eskilstuna,12190,Sverige,SE,19921006-5845,+46,08-87 87 50,1992-10-06,True
Oliver,Karppinen,Veräjämäenkuja 64,Posio,55704,Finland,FI,19700915-637D,+358,+358 43 8107003,1970-09-15,True
Tapani,Rönkkö,Ilmattarentie 2,Vesanto,66130,Finland,FI,19980426-068N,+358,(+358) 224246654,1998-04-26,True
Louise,Danielsson,Åkervägen 794,Karlskrona,93238,Sverige,SE,19920902-6815,+46,061-296 25 32,1992-09-02,True
Lars,Mikkelsen,Hanssenstranda 7,Eivindfjell,6537,Norge,NO,19511017-0113,+47,10782924,1951-10-17,True
Scott,Hutchinson,Adams Villages 6967,Martinezton,56550,Danmark,DK,19651003-8213,+45,001-220-213-6281x8240,1965-10-03,True
Frode,Sørensen,Brekkeringen 43,Martegrunn,4323,Norge,NO,19770906-2612,+47,85254430,1977-09-06,True
Anette,Gulbrandsen,Nilsentjernet 2C,Jenssen,1143,Norge,NO,19510220-7382,+47,+4774376208,1951-02-20,True
David,Berry,Chavez Knoll 337,Lynchstad,94391,Danmark,DK,19400714-0757,+45,001-933-397-9564x419,1940-07-14,True
Astrid,Palm,Furugatan 598,Örnsköldsvik,14034,Sverige,SE,19470627-0435,+46,0747-423 20,1947-06-27,True
Turid,Hansen,Myklebuststykket 67,Fredriksen,7102,Norge,NO,19500303-3318,+47,91335414,1950-03-03,True
Per,Mattsson,Industristigen 953,Kristianstad,42587,Sverige,SE,19721208-1863,+46,08-474 97 28,1972-12-08,True
Lennart,Larsson,Furugränd 624,Umeå,25118,Sverige,SE,19740320-1222,+46,08-49 47 52,1974-03-20,True
Anneli,Haataja,Mamsellimyllynkatu 87,Mikkeli,03904,Finland,FI,19930327-746T,+358,010 495 5650,1993-03-27,True
Lauren,Johnson,Wright Dale 545,New Brittany,09138,Danmark,DK,19570424-7745,+45,+1-976-629-5416x579,1957-04-24,True
Folke,Borg,Bäckstigen 470,Sundsvall,64794,Sverige,SE,19631108-2414,+46,0315-46 11 33,1963-11-08,True
Andrea,Hansen,Knutsenbråten 7,Haugland,3121,Norge,NO,19750612-3733,+47,16980220,1975-06-12,True
Linda,Adams,Conley Field 793,South Terri,21485,Danmark,DK,19560914-3010,+45,(482)326-1473,1956-09-14,True
Gunvor,Persson,Parkvägen 65,Lidingö,60391,Sverige,SE,19690822-3193,+46,+46 (0)33 24 86 41,1969-08-22,True
Erika,Svensson,Parkvägen 93,Halmstad,98076,Sverige,SE,19801015-1568,+46,08-071 450 43,1980-10-15,True
Shawn,Jacobson,Brown Throughway 36240,North Danny,10936,Danmark,DK,19510319-7996,+45,934-928-3680x1058,1951-03-19,True
Britt,Olsson,Furustigen 07,Piteå,74386,Sverige,SE,19481210-0699,+46,019-151 59 66,1948-12-10,True
Kaarina,Niemi,Nils Westermarckin katu 29,Kankaanpää,57777,Finland,FI,19550327-4045,+358,+358 50 7424137,1955-03-27,True
Carina,Nilsson,Ringgränd 515,Karlstad,22991,Sverige,SE,19460920-0628,+46,+46 (0)939 618 95,1946-09-20,True
Torill,Nilsen,Eriksenrøa 78D,Vegardhelle,3910,Norge,NO,19930430-4826,+47,73499983,1993-04-30,True
Bjørn,Jenssen,Mikkelsentoppen 7,Ødegård,2250,Norge,NO,19750304-4754,+47,39 27 59 65,1975-03-04,True
Viola,Mattsson,Villagatan 1,Halmstad,21818,Sverige,SE,19931031-0751,+46,08-108 32 08,1993-10-31,True
Helena,Malm,Skolvägen 842,Sandviken,37855,Sverige,SE,19941111-3881,+46,071-512 87 52,1994-11-11,True
Christine,Sjödin,Ringgränd 846,Norrköping,93301,Sverige,SE,19861029-5369,+46,08-821 60 32,1986-10-29,True
Michael,Nilsson,Idrottsvägen 2,Luleå,29718,Sverige,SE,19971016-2827,+46,0679-365 55,1997-10-16,True
Per,Nilsson,Ängsgatan 05,Växjö,50689,Sverige,SE,19610824-8253,+46,+46 (0)17 68 74 33,1961-08-24,True
Hellevi,Mäkelä,Kimalaistie 9,Kuhmoinen,68637,Finland,FI,19920923-145A,+358,+358956759859,1992-09-23,True
Tobias,Adolfsson,Ängsgränd 7,Borås,56725,Sverige,SE,19580305-0245,+46,08-137 52 66,1958-03-05,True
Ellen,Persson,Ekvägen 374,Göteborg,92645,Sverige,SE,19810615-3186,+46,08-47 68 17,1981-06-15,True
Emma,Axelsson,Stationsgatan 468,Sundsvall,65494,Sverige,SE,19641024-7211,+46,+46 (0)023 134 94,1964-10-24,True
Ingrid,Pettersson,Stationsgränd 3,Växjö,66750,Sverige,SE,20000616-6947,+46,08-656 00 82,2000-06-16,True
Peter,Cox,Cameron Villages 82250,Julieview,01519,Danmark,DK,19740213-4259,+45,001-541-336-7566x229,1974-02-13,True
